recipe_id,kcal,Fat (g),Saturates (g),Carbs (g),Sugars (g),Fibre (g),Protein (g),Salt (g)
76,120,9,3,4,1,1,6,0.64
77,591,27,9,55,7,11,25,1.7
78,734,46,21,38,13,3,44,1.87
79,410,13,5,47,6,6,24,1
80,163,9,2,15,4,3,3,0.6
81,256,10,2,18,8,7,19,0.9
82,522,21,11,82,54,2,8,0.86
83,320,17,9,29,17,7,9,1
84,412,24,16,15,11,2,33,1.7
85,417,20,7,17,8,6,39,2.1
86,329,9,1,50,8,4,11,0.7
87,115,4,1,19,12,5,3,0.46
88,383,24,8,5,5,0,38,0.8
89,243,14,3,11,11,1,18,1.23
90,337,14,6,36,5,7,14,1.01
91,366,9,1,51,12,11,15,1.4
92,609,24,10,87,17,8,15,1
93,123,7,1,13,1,4,4,1.08
94,585,44,16,2,0,0,45,0.83
